case,version,mode,RAG,success,iterations,created at,updated at,TotalToken,inputToken,outputToken
Open Energy Monitor,v3,notsummarized,1,1,9,2025-12-21 01:59:25+00:00,2025-12-21 02:09:13+00:00,209857,20889,188968
Open Energy Monitor,v2,summarized,1,1,11,2025-12-21 01:44:49+00:00,2025-12-21 01:59:25+00:00,323196,35174,288022
Open Energy Monitor,v2,notsummarized,1,1,16,2025-12-21 01:26:41+00:00,2025-12-21 01:44:48+00:00,370147,38333,331814
Open Energy Monitor,v1,summarized,1,1,10,2025-12-21 01:14:05+00:00,2025-12-21 01:26:41+00:00,269993,29718,240275
Open Energy Monitor,v1,notsummarized,1,0,30,2025-12-21 00:42:12+00:00,2025-12-21 01:14:05+00:00,626726,68296,558430
Open Energy Monitor,v3,summarized,0,1,6,2025-12-21 00:34:23+00:00,2025-12-21 00:42:12+00:00,155781,17868,137913
Open Energy Monitor,v3,notsummarized,0,1,3,2025-12-21 00:31:02+00:00,2025-12-21 00:34:22+00:00,53046,6533,46513
Open Energy Monitor,v2,summarized,0,1,15,2025-12-21 00:12:23+00:00,2025-12-21 00:31:02+00:00,391564,43454,348110
Open Energy Monitor,v2,notsummarized,0,1,17,2025-12-20 23:47:59+00:00,2025-12-21 00:12:22+00:00,507992,65237,442755
Open Energy Monitor,v1,summarized,0,1,8,2025-12-20 23:30:51+00:00,2025-12-20 23:47:59+00:00,295549,39862,255687
Open Energy Monitor,v1,notsummarized,0,0,30,2025-12-20 22:49:29+00:00,2025-12-20 23:30:51+00:00,810200,115969,694231
JetRacer,v3,summarized,1,1,9,2025-12-20 22:27:37+00:00,2025-12-20 22:49:23+00:00,433237,58688,374549
JetRacer,v3,notsummarized,1,1,5,2025-12-20 22:18:52+00:00,2025-12-20 22:27:37+00:00,145631,17973,127658
JetRacer,v2,summarized,1,0,30,2025-12-20 20:49:27+00:00,2025-12-20 22:18:52+00:00,1787924,246181,1541743
JetRacer,v2,notsummarized,1,1,9,2025-12-20 20:32:55+00:00,2025-12-20 20:49:26+00:00,286377,39673,246704
JetRacer,v1,summarized,1,1,5,2025-12-20 20:19:31+00:00,2025-12-20 20:32:55+00:00,239611,36192,203419
JetRacer,v3,summarized,0,1,18,2025-12-20 19:50:47+00:00,2025-12-20 20:14:22+00:00,443091,39634,403457
JetRacer,v3,notsummarized,0,0,30,2025-12-20 19:25:25+00:00,2025-12-20 19:50:46+00:00,488459,47280,441179
JetRacer,v2,summarized,0,1,20,2025-12-20 18:55:34+00:00,2025-12-20 19:25:25+00:00,563023,65237,497786
JetRacer,v2,notsummarized,0,0,30,2025-12-20 18:35:16+00:00,2025-12-20 18:55:34+00:00,442072,49863,392209
JetRacer,v1,notsummarized,0,0,30,2025-12-20 18:08:09+00:00,2025-12-20 18:24:25+00:00,350290,37818,312472
JetRacer,v1,notsummarized,1,0,30,2025-12-20 13:51:56+00:00,2025-12-20 14:47:49+00:00,1076107,162410,913697
JetRacer,v3,summarized,0,0,30,2025-12-20 13:07:57+00:00,2025-12-20 13:51:56+00:00,809269,79510,729759
JetRacer,v3,notsummarized,0,1,8,2025-12-20 13:01:20+00:00,2025-12-20 13:07:57+00:00,117081,10772,106309
JetRacer,v2,summarized,0,0,30,2025-12-20 12:21:57+00:00,2025-12-20 13:01:19+00:00,748918,76930,671988
JetRacer,v2,notsummarized,0,0,30,2025-12-20 12:02:06+00:00,2025-12-20 12:21:57+00:00,368146,39958,328188
JetRacer,v1,summarized,0,0,30,2025-12-20 11:23:31+00:00,2025-12-20 12:02:06+00:00,740799,83679,657120
JetRacer,v1,notsummarized,0,0,30,2025-12-20 10:58:04+00:00,2025-12-20 11:23:31+00:00,452399,46647,405752
BookInfo,v3,notsummarized,1,0,30,2025-12-20 09:22:30+00:00,2025-12-20 10:13:53+00:00,1122772,75831,1046941
BookInfo,v2,summarized,1,0,30,2025-12-20 08:06:23+00:00,2025-12-20 09:22:29+00:00,1434373,156939,1277434
BookInfo,v2,notsummarized,1,0,30,2025-12-20 07:22:36+00:00,2025-12-20 08:06:23+00:00,843120,78378,764742
BookInfo,v1,summarized,1,0,30,2025-12-20 06:13:11+00:00,2025-12-20 07:22:36+00:00,1309682,155356,1154326
BookInfo,v1,notsummarized,1,0,30,2025-12-20 05:33:45+00:00,2025-12-20 06:13:11+00:00,722232,66276,655956
BookInfo,v3,notsummarized,0,0,30,2025-12-20 04:31:56+00:00,2025-12-20 04:56:49+00:00,625007,52320,572687
BookInfo,v2,summarized,0,0,30,2025-12-20 03:56:54+00:00,2025-12-20 04:31:56+00:00,859155,106037,753118
BookInfo,v2,notsummarized,0,0,30,2025-12-20 03:38:24+00:00,2025-12-20 03:56:54+00:00,453043,41179,411864
BookInfo,v1,summarized,0,0,30,2025-12-20 02:55:33+00:00,2025-12-20 03:38:23+00:00,917005,119425,797580
BookInfo,v1,notsummarized,0,0,30,2025-12-20 02:30:22+00:00,2025-12-20 02:55:33+00:00,548368,61365,487003
BookInfo,v3,summarized,0,1,6,2025-12-19 20:46:42+00:00,2025-12-19 20:53:41+00:00,136921,12272,124649
BookInfo,v3,notsummarized,0,1,5,2025-12-19 20:42:51+00:00,2025-12-19 20:46:41+00:00,77753,8049,69704
BookInfo,v1,notsummarized,0,1,7,2025-12-19 19:53:04+00:00,2025-12-19 19:58:19+00:00,90648,9708,80940
